SKU code,Product name,Product description,Product Category,Product Subcategory,Quantity on hand,Reorder Quantity,Unit price,Product rating
GGB-FD0TVBDI,Snackify Beverages Family Pack,"Snackify Beverages with Gluten?free, Suitable for vegetarians, Imported. Priced competitively at $3.00.",Groceries & Gourmet,Beverages,308,13,3,3.6
BC-KH1DNMMJ,BlueCedar Children Collection,"BlueCedar Children with Hardcover, 307 pages, English language. Priced competitively at $31.99.",Books,Children,22,103,31.99,4
HKHD-ZBIKCIDK,BrightNest Home Decor Pro,"BrightNest Home Decor with Non?stick, Energy?efficient, Easy to clean. Priced competitively at $68.00.",Home & Kitchen,Home Decor,325,116,68,3.9
HS-FN9XUY41,CarePlus Supplements Max,"CarePlus Supplements with GMP certified, Easy?read display, Child?safe cap. Priced competitively at $105.90.",Health,Supplements,117,115,105.9,4.5
F-T-R5XFF0T0,Stone&Co Tops Weekend,"Stone&Co Tops with Breathable fabric, Relaxed fit, Hand wash cold. Priced competitively at $29.00.",Fashion - Men,Tops,219,84,29,4
HKC-2PCN9T84,SwiftClean Cookware Pro,"SwiftClean Cookware with Dishwasher?safe, Energy?efficient, Heat?resistant up to 230°C. Priced competitively at $331.90.",Home & Kitchen,Cookware,5,97,331.9,4.4
F-F-AZZ81SDW,Stone&Co Footwear Active,"Stone&Co Footwear with Four?way stretch, Regular fit, Dry clean recommended. Priced competitively at $45.95.",Fashion - Men,Footwear,430,91,45.95,3.9
PSD-753LC58D,PawJoy Dog Complete,"PawJoy Dog with Vet?recommended, For large breeds, No artificial colours. Priced competitively at $152.95.",Pet Supplies,Dog,248,114,152.95,4.2
BPF-5PHT0HL9,Velour Fragrances Strength,"Velour Fragrances with Dermatologist?tested, For sensitive skin, Hyaluronic acid. Priced competitively at $373.90.",Beauty & Personal Care,Fragrances,332,57,373.9,3.8
HKB-AZCCBLSK,BrightNest Bedding Pro,"BrightNest Bedding with Non?stick, Energy?efficient, Heat?resistant up to 230°C. Priced competitively at $18.90.",Home & Kitchen,Bedding,248,37,18.9,4.4
BC&-DPPQ0Y9D,NorthStar Comics & Manga Series,"NorthStar Comics & Manga with Paperback, 376 pages, English language. Priced competitively at $13.95.",Books,Comics & Manga,206,103,13.95,3.8
PSSP-I7P5TB94,AquaScape Small Pets Comfort,"AquaScape Small Pets with Vet?recommended, Suitable for all breeds, High?protein. Priced competitively at $21.90.",Pet Supplies,Small Pets,496,21,21.9,4.9
